0
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 5849, Loan Amount: Unknown, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 4583, Loan Amount: 128.0, Credit History: 1.0, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3000, Loan Amount: 66.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 2583, Loan Amount: 120.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 6000, Loan Amount: 141.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 5417, Loan Amount: 267.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 2333, Loan Amount: 95.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3036, Loan Amount: 158.0, Credit History: 0.0, Property Area: Semiurban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 4006, Loan Amount: 168.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 12841, Loan Amount: 349.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3200, Loan Amount: 70.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 2500, Loan Amount: 109.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3073, Loan Amount: 200.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 1853, Loan Amount: 114.0, Credit History: 1.0, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 1299, Loan Amount: 17.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 4950, Loan Amount: 125.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: No, Education: Not Graduate, Applicant Income: 3596, Loan Amount: 100.0, Credit History: Unknown, Property Area: Urban, Loan Status: Y"
"Gender: Female, Married: No, Education: Graduate, Applicant Income: 3510, Loan Amount: 76.0, Credit History: 0.0, Property Area: Urban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 4887, Loan Amount: 133.0, Credit History: 1.0, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 2600, Loan Amount: 115.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 7660, Loan Amount: 104.0, Credit History: 0.0, Property Area: Urban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 5955, Loan Amount: 315.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 2600, Loan Amount: 116.0, Credit History: 0.0, Property Area: Semiurban, Loan Status: N"
